YEAR,STATE,NUMCOL,LBPERCOL,TOTALLB,PRICEPERLB,TOTALPRICE
1989,CALIFORNIA,620000,34,21080000,0.48999051233396584,10329000
1989,COLORADO,50000,66,3300000,0.54,1782000
1989,CONNECTICUT,2000,40,80000,1.05,84000
1989,DELAWARE,1000,10,10000,1.0,10000
1989,FLORIDA,250000,60,15000000,0.48,7200000
1989,GEORGIA,116000,27,3132000,0.5600255427841635,1754000
1989,HAWAII,9000,135,1215000,0.45020576131687245,547000
1989,IDAHO,140000,54,7560000,0.46005291005291005,3478000
1989,ILLINOIS,29000,38,1102000,0.7803992740471869,860000
1989,INDIANA,28000,35,980000,0.7204081632653061,706000
1989,IOWA,67000,90,6030000,0.4500829187396352,2714000
1989,KANSAS,37000,46,1702000,0.4800235017626322,817000
1989,KENTUCKY,12000,29,348000,1.0804597701149425,376000
